run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
15,12.361604671558897,-87.5,532.2345209208248,53.22345209208248,53.22345209208248,106.44690418416496,0.9522,-87.5,-87.5,-87.5,4905.181874762745,3.611604671558897,-9.513395328441103,-27.375121374482344,-5.319258351461723,-27.375121374482344,-62.73684742052359,12.361604671558897,"{""AC_45_KO"": 500}",0,500,0,0,0,0,0,0,0,0,0,0
16,-41.96160467155889,-179.99999999999997,575.2764503111922,57.52764503111922,57.52764503111922,115.05529006223844,0.54145,-179.99999999999997,-3036.3903616771668,-4672.681874762745,320.0,-59.96160467155889,-86.96160467155889,-97.7254271871185,-65.3435159293387,-97.7254271871185,-144.4892497026781,-41.96160467155889,"{""AC_40_BP"": 50, ""AC_45_KO"": -500}",0,-500,50,0,0,0,0,0,0,0,0,0
17,-17.099999999999977,-254.99999999999997,249.70700831174128,24.970700831174128,24.970700831174128,49.941401662348255,0.5242,-254.99999999999997,-254.99999999999997,-254.99999999999997,245.00000000000003,-42.59999999999998,-80.84999999999997,-67.83535041558703,-36.092675207793505,-67.83535041558703,-105.8207008311741,-17.099999999999977,"{""AC_40_BP"": 50}",0,0,50,0,0,0,0,0,0,0,0,0
18,-4.738395328441096,157.50000000000003,600.2594074539725,60.02594074539725,60.02594074539725,120.0518814907945,0.49665,-342.5,-342.5,-342.5,5150.181874762745,-38.988395328441094,-90.3633953284411,-86.12636570113972,-36.86988051479041,-86.12636570113972,-150.38933607383836,-4.738395328441096,"{""AC_40_BP"": 50, ""AC_45_KO"": 500}",0,500,50,0,0,0,0,0,0,0,0,0
19,-27.447336595301724,-245.82849530218522,1453.5071209550363,145.35071209550364,145.35071209550364,290.7014241910073,0.6133,-1290.0,-4412.563704423005,-6282.681874762745,26727.958330751266,-156.44733659530172,-349.94733659530175,-293.62269264305354,-128.28501461917762,-293.62269264305354,-495.2980486908054,-27.447336595301724,"{""AC_40_BP"": -50, ""AC_45_KO"": -500, ""AC_50_CO"": 50}",0,-500,-50,50,0,0,0,0,0,0,0,0
20,-2.5857319237428307,-320.8284953021852,1279.2706605601911,127.92706605601911,127.92706605601911,255.85413211203823,0.6456,-865.0,-1365.0,-1365.0,26652.958330751266,-89.08573192374283,-218.83573192374283,-196.29926495175238,-77.8174984377476,-196.29926495175238,-346.76279797976196,-2.5857319237428307,"{""AC_40_BP"": -50, ""AC_50_CO"": 50}",0,0,-50,50,0,0,0,0,0,0,0,0
21,9.775872747816067,-317.5069404413093,1314.1274922140763,131.41274922140764,131.41274922140764,262.8254984428153,0.6441,-952.5,-1452.5,-1452.5,26565.458330751266,-85.47412725218393,-228.34912725218393,-198.80550186288775,-70.70231455753584,-198.80550186288775,-359.76187647359154,9.775872747816067,"{""AC_40_BP"": -50, ""AC_45_KO"": 500, ""AC_50_CO"": 50}",0,500,-50,50,0,0,0,0,0,0,0,0
22,-39.54733659530173,-125.91678008317446,1426.1989646566572,142.6198964656657,142.6198964656657,285.2397929313314,0.55305,-1040.0,-4162.563704423005,-6032.681874762745,26477.958330751266,-143.54733659530172,-299.5473365953017,-266.85728482813454,-127.20231071171816,-266.85728482813454,-442.1672330609674,-39.54733659530173,"{""AC_45_KO"": -500, ""AC_50_CO"": 50}",0,-500,0,50,0,0,0,0,0,0,0,0
23,-14.68573192374283,-200.91678008317444,1254.0247764968617,125.40247764968618,125.40247764968618,250.80495529937235,0.5871,-1115.0,-1115.0,-1115.0,26402.958330751266,-126.18573192374284,-293.4357319237428,-244.6369707485859,-101.78635133616439,-244.6369707485859,-418.838209573429,-14.68573192374283,"{""AC_50_CO"": 50}",0,0,0,50,0,0,0,0,0,0,0,0
24,-2.3241272521839305,-200.94822305648552,1295.2451365930417,129.52451365930418,129.52451365930418,259.04902731860835,0.591,-1202.5,-1202.5,-1202.5,26315.458330751266,-122.57412725218393,-302.9491272521839,-247.461384081836,-94.83025566700996,-247.461384081836,-432.47364091148813,-2.3241272521839305,"{""AC_45_KO"": 500, ""AC_50_CO"": 50}",0,500,0,50,0,0,0,0,0,0,0,0
25,-56.6473365953017,4.225188349882927,1442.2590623422836,144.22590623422838,144.22590623422838,288.45181246845675,0.4979,-1295.0,-3917.563704423005,-5787.681874762745,26222.958330751266,-186.1473365953017,-380.3973365953017,-323.0102897124159,-157.4538131538588,-323.0102897124159,-524.62324282953,-56.6473365953017,"{""AC_40_BP"": 50, ""AC_45_KO"": -500, ""AC_50_CO"": 50}",0,-500,50,50,0,0,0,0,0,0,0,0
26,-31.785731923742812,-70.77481165011707,1278.0180112838398,127.80180112838397,127.80180112838397,255.60360225676794,0.52745,-1370.0,-1370.0,-1370.0,26147.958330751266,-168.78573192374282,-374.2857319237428,-301.1866324879348,-132.23618220583882,-301.1866324879348,-502.0875330521268,-31.785731923742812,"{""AC_40_BP"": 50, ""AC_50_CO"": 50}",0,0,50,50,0,0,0,0,0,0,0,0
27,-19.424127252183915,-77.12323565481796,1324.0453322839812,132.40453322839812,132.40453322839812,264.80906645679624,0.5306,-1457.5,-1457.5,-1457.5,26060.458330751266,-165.17412725218392,-383.7991272521839,-304.25139386638295,-125.40026055928345,-304.25139386638295,-516.203660480582,-19.424127252183915,"{""AC_40_BP"": 50, ""AC_45_KO"": 500, ""AC_50_CO"": 50}",0,500,50,50,0,0,0,0,0,0,0,0
